Running Java benchmark CG, class D, on 1 servers (np=16), sm,self

SLURM job ID: 777012

Servers:
mpi025
mpi025
mpi025
mpi025
mpi025
mpi025
mpi025
mpi025
mpi025
mpi025
mpi025
mpi025
mpi025
mpi025
mpi025
mpi025

mpirun --mca btl_usnic_if_include 10.10.0.0/16,10.2.0.0/16 --mca btl_tcp_if_include 10.10.0.0/16,10.2.0.0/16 --mca btl sm,self --bind-to core --map-by node -np 16 java -Xmx64g NPB_MPJ.CG class=D

Start: Sun Jun  1 08:41:15 PDT 2014
===============================================================================
 Unofficial NAS Parallel Benchmarks -- CG Benchmark
 Size: 1500000
 Iterations: 100
 Number of active processes: 16
 Number of nonzeroes per row: 21
 Eigenvalue shift: 500.0
 Iteration "-1"  is the warm up iteration
   iteration            ||r||                 zeta
    -1        9.978827460199736E-13          499.9996989885352
    0        9.978827460199736E-13          499.9996989885352
    1        6.567738900021977E-16          49.179292122262154
    2        6.863011313221079E-16          49.762141778091575
    3        7.10650972702067E-16          50.24761084484919
    4        7.319714893447367E-16          50.65041133187373
    5        7.500706294007054E-16          50.98356793299371
    6        7.656313771646866E-16          51.25841790935607
    7        7.793589960508765E-16          51.48469939195945
    8        7.906672740039223E-16          51.67068944628477
    9        7.993795100892994E-16          51.823364719003564
    10        8.06440648513987E-16          51.948566680560134
    11        8.11228943306451E-16          52.05116036496378
    12        8.171245507980336E-16          52.13518039744059
    13        8.206247661248773E-16          52.203961406464316
    14        8.225295355752928E-16          52.26025204128092
    15        8.251632146293561E-16          52.30631309974473
    16        8.268408688865478E-16          52.34400098155896
    17        8.287653484779035E-16          52.37483801528657
    18        8.298761344201307E-16          52.40007130439864
    19        8.302175692583082E-16          52.42072169384625
    20        8.307440380016451E-16          52.43762433808729
    21        8.335012457751482E-16          52.451462195835234
    22        8.337518558264676E-16          52.46279360972454
    23        8.336029427962466E-16          52.4720749669587
    24        8.34991145094967E-16          52.47967928733573
    25        8.340557879671241E-16          52.4859114504294
    26        8.353020895893635E-16          52.49102065722832
    27        8.370730432072305E-16          52.49521062056715
    28        8.368060265312241E-16          52.49864789356985
    29        8.364694492522294E-16          52.501468673531406
    30        8.361055276176446E-16          52.5037843587117
    31        8.372332897552171E-16          52.50568608590862
    32        8.368352605120459E-16          52.507248435366876
    33        8.361962186861024E-16          52.50853245574427
    34        8.375194566430897E-16          52.50958813414877
    35        8.367117678216777E-16          52.510456413124246
    36        8.377011981210013E-16          52.51117083805309
    37        8.374481534174822E-16          52.511758902708095
    38        8.387226929485866E-16          52.512243148703476
    39        8.367241014145735E-16          52.51264206396934
    40        8.385030394130034E-16          52.51297081711442
    41        8.367178245821968E-16          52.51324185791992
    42        8.366207852189846E-16          52.513465408416494
    43        8.380478561471255E-16          52.51364986468974
    44        8.373217646020216E-16          52.51380212562532
    45        8.37961859826783E-16          52.51392786206486
    46        8.393683027417949E-16          52.51403173720996
    47        8.393397737529999E-16          52.51411758717825
    48        8.382737582827422E-16          52.51418856890098
    49        8.382470554648907E-16          52.51424728144423
    50        8.377213310589029E-16          52.51429586539291
    51        8.37046108495126E-16          52.51433608446479
    52        8.384748393556167E-16          52.51436939245673
    53        8.377226385868673E-16          52.51439698813601
    54        8.379499657645585E-16          52.51441986045279
    55        8.381345244380633E-16          52.51443882548875
    56        8.373879083974671E-16          52.514454557067324
    57        8.370936678226299E-16          52.51446761169285
    58        8.374906211561271E-16          52.51447844918994
    59        8.385097611778732E-16          52.51448744965711
    60        8.3721808002264E-16          52.51449492741904
    61        8.368873168516389E-16          52.51450114252896
    62        8.37521435745663E-16          52.514506310179
    63        8.368383896732623E-16          52.514510608536966
    64        8.365092958244004E-16          52.51451418522936
    65        8.379052310814417E-16          52.51451716253496
    66        8.36175230040096E-16          52.514519641793186
    67        8.358744900365704E-16          52.51452170712457
    68        8.371788281460697E-16          52.51452342825513
    69        8.370890099561831E-16          52.51452486306039
    70        8.368411574743165E-16          52.514526059625894
    71        8.35711350581685E-16          52.51452705782856
    72        8.364833006374487E-16          52.51452789087682
    73        8.358382987942551E-16          52.5145285863245
    74        8.381192582491446E-16          52.51452916710389
    75        8.369863366776453E-16          52.51452965226292
    76        8.362643187979582E-16          52.514530057719185
    77        8.373386003108267E-16          52.51453039664676
    78        8.373703743338626E-16          52.51453068006305
    79        8.351101592080423E-16          52.51453091715479
    80        8.365605106949623E-16          52.51453111552104
    81        8.36526468338278E-16          52.51453128156402
    82        8.36649773458223E-16          52.514531420582955
    83        8.377041487804851E-16          52.51453153701425
    84        8.374037705249204E-16          52.5145316345662
    85        8.363261964851928E-16          52.51453171630692
    86        8.371444944735808E-16          52.51453178485008
    87        8.366962711363429E-16          52.51453184228859
    88        8.365065426793784E-16          52.51453189047868
    89        8.370128075049071E-16          52.51453193090259
    90        8.367487326322699E-16          52.514531964841524
    91        8.347494959641177E-16          52.51453199331081
    92        8.367063112310148E-16          52.51453201721944
    93        8.367013118059904E-16          52.51453203732177
    94        8.357535447824596E-16          52.51453205418056
    95        8.367068572511407E-16          52.514532068360325
    96        8.367489430008767E-16          52.514532080278855
    97        8.35800075069311E-16          52.51453209028949
    98        8.367373586552917E-16          52.51453209871465
    99        8.3735086073106445E-16          52.51453210579717

 Benchmark completed 
CG.D: Verification Successful
Zeta is: 52.51453210579717
Error is: 5.3851000378862045E-14
**** NAS Parallel Benchmarks Java-MPJ version (NPB-MPJ) CG ***** 
* Class             = D                                        * 
* Size              = 1500000                                  * 
* Iterations        = 100                                      * 
* Time in seconds   = 1229.753                                 * 
